dataset,source_table,experiment_group,model_or_config,aggregation,seed_or_run,class_name,precision_pct,precision_sd_pct,recall_pct,recall_sd_pct,f1_score_pct,f1_score_sd_pct,map50_pct,map50_sd_pct,map75_pct,map75_sd_pct,map50_95_pct,map50_95_sd_pct,notes
PVEL-AD,Table 6 support,Loss-function comparison,inner-EIOU,single_run,42,short_circuit,92.31,,96.63,,94.42,,93.64,,93.64,,75.09,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-EIOU,single_run,42,star_crack,63.72,,80.54,,71.15,,74.74,,58.67,,47.14,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-EIOU,single_run,42,thick_line,83.97,,59.53,,69.67,,74.75,,35.51,,38.35,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-EIOU,single_run,42,vertical_dislocation,51.78,,92,,66.26,,89.3,,85.12,,63.51,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-EIOU,single_run,3407,black_core,88.26,,83.78,,85.96,,85.73,,72.61,,71.51,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-EIOU,single_run,3407,crack,53.99,,45.57,,49.42,,51.41,,37.24,,33.37,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-EIOU,single_run,3407,finger,85.8,,84.23,,85.01,,90.78,,59.4,,53.6,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-EIOU,single_run,3407,horizontal_dislocation,97.46,,100,,98.71,,99.5,,81.17,,68.87,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-EIOU,single_run,3407,short_circuit,99.03,,95.51,,97.24,,95.52,,95.52,,76.79,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-EIOU,single_run,3407,star_crack,62.78,,70.83,,66.56,,66.13,,47.22,,43.93,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-EIOU,single_run,3407,thick_line,82.18,,62.89,,71.25,,75.49,,35.35,,39.13,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-EIOU,single_run,3407,vertical_dislocation,83.09,,92,,87.32,,91.5,,91.1,,69.08,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,mean_sd_over_3_runs,,black_core,91.76,0.23,77.85,5.69,84.16,3.24,82.01,3.3,68.83,2.38,68.81,2.23,
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,mean_sd_over_3_runs,,crack,58.03,1.86,41.07,2.78,48.02,1.38,47.94,1.17,34.34,1.55,31.03,1.17,
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,mean_sd_over_3_runs,,finger,88.07,1.76,82.48,2.29,85.18,1.85,89.47,1.48,58.1,1.31,52.67,1.41,
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,mean_sd_over_3_runs,,horizontal_dislocation,98.3,1.95,100,0,99.14,1,99.5,0,84.4,3.92,69.73,1.31,
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,mean_sd_over_3_runs,,short_circuit,91.28,4.89,96.26,0.65,93.66,2.7,90.94,4.01,90.94,4.02,73.21,2.51,
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,mean_sd_over_3_runs,,star_crack,62.43,2.79,68.06,2.4,65.12,2.58,65.93,4.78,49.77,7.45,43.17,3.7,
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,mean_sd_over_3_runs,,thick_line,84.07,3.69,58.73,4.03,69.01,1.51,73,1.26,33.87,3.55,37.66,1.47,
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,mean_sd_over_3_runs,,vertical_dislocation,68.65,26.35,94.67,2.31,77.69,17.99,91.61,3.67,87.78,4.34,67.01,6.06,
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,0,black_core,92.02,,72.43,,81.06,,79.29,,66.78,,66.42,,Source label Seed-1 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,0,crack,60.17,,37.95,,46.54,,46.8,,32.64,,29.91,,Source label Seed-1 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,0,finger,86.94,,79.85,,83.24,,87.91,,57.01,,51.16,,Source label Seed-1 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,0,horizontal_dislocation,99.28,,100,,99.64,,99.5,,88.79,,70.71,,Source label Seed-1 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,0,short_circuit,88.32,,96.63,,92.29,,88.45,,88.45,,71.42,,Source label Seed-1 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,0,star_crack,61.96,,66.67,,64.23,,71.29,,58.23,,47.38,,Source label Seed-1 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,0,thick_line,80.27,,63.07,,70.64,,73.52,,33.83,,37.26,,Source label Seed-1 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,0,vertical_dislocation,43.87,,96,,60.22,,88.7,,82.77,,60.02,,Source label Seed-1 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,42,black_core,91.67,,77.35,,83.91,,81.06,,68.26,,69.17,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,42,crack,57.17,,43.3,,49.28,,47.89,,34.69,,30.93,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,42,finger,90.1,,83.98,,86.93,,90.85,,59.56,,53.95,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,42,horizontal_dislocation,96.06,,100,,97.99,,99.5,,83.15,,70.24,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,42,short_circuit,88.6,,95.51,,91.92,,88.8,,88.79,,72.12,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,42,star_crack,59.9,,66.67,,63.1,,62.09,,46.85,,40.42,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,42,thick_line,84.31,,58,,68.72,,71.56,,30.34,,36.43,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,42,vertical_dislocation,65.76,,92,,76.69,,90.4,,90.24,,70.3,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,3407,black_core,91.6,,83.78,,87.52,,85.68,,71.44,,70.84,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,3407,crack,56.76,,41.96,,48.25,,49.13,,35.69,,32.24,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,3407,finger,87.17,,83.62,,85.36,,89.64,,57.73,,52.9,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,3407,horizontal_dislocation,99.57,,100,,99.78,,99.5,,81.25,,68.24,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,3407,short_circuit,96.92,,96.63,,96.77,,95.57,,95.57,,76.08,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,3407,star_crack,65.42,,70.83,,68.02,,64.41,,44.22,,41.7,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,3407,thick_line,87.63,,55.11,,67.67,,73.92,,37.43,,39.29,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,inner-GIOU,single_run,3407,vertical_dislocation,96.33,,96,,96.16,,95.74,,90.33,,70.71,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,mean_sd_over_3_runs,,black_core,92.07,2.44,82.46,2.18,87,2.24,85.5,2.27,72.42,2.03,71.9,1.53,
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,mean_sd_over_3_runs,,crack,63.69,1.3,41.76,1.27,50.44,0.97,49.51,2.08,35.3,1.11,31.65,0.38,
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,mean_sd_over_3_runs,,finger,90.54,1.02,82.2,2.03,86.16,1.38,90.37,1.15,58.57,0.44,53.37,0.65,
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,mean_sd_over_3_runs,,horizontal_dislocation,99.59,0.02,100,0,99.79,0.01,99.5,0,80.47,2.2,68.07,1.2,
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,mean_sd_over_3_runs,,short_circuit,96.88,4.15,97,0.65,96.91,2.29,97.09,0.5,97.09,0.5,77.84,0.85,
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,mean_sd_over_3_runs,,star_crack,70.06,3.52,69.44,2.4,69.71,2.08,66.24,2.34,48.33,2.95,43.59,2.44,
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,mean_sd_over_3_runs,,thick_line,86.5,3.16,53.25,1.95,65.88,1.49,72.26,2.18,36.57,2.02,38.41,0.97,
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,mean_sd_over_3_runs,,vertical_dislocation,68.14,22.76,93.33,2.31,77.62,15.35,90.2,4.91,86.93,1.11,65.68,1.6,
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,0,black_core,92.84,,84.14,,88.28,,86.63,,71.68,,72.16,,Source label Seed-1 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,0,crack,62.18,,41.96,,50.11,,47.11,,36.57,,31.62,,Source label Seed-1 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,0,finger,90.05,,79.85,,84.64,,89.28,,58.17,,52.68,,Source label Seed-1 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,0,horizontal_dislocation,99.61,,100,,99.8,,99.5,,82.47,,68.19,,Source label Seed-1 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,0,short_circuit,99.15,,96.63,,97.87,,97.19,,97.19,,77.56,,Source label Seed-1 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,0,star_crack,66.4,,70.83,,68.55,,68.32,,49.3,,45.49,,Source label Seed-1 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,0,thick_line,89.12,,51.22,,65.05,,74.68,,38.79,,39.51,,Source label Seed-1 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,0,vertical_dislocation,94.07,,96,,95.03,,95.67,,86.67,,65.71,,Source label Seed-1 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,42,black_core,89.34,,80,,84.41,,82.89,,70.86,,70.26,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,42,crack,64.46,,42.92,,51.53,,50.87,,34.78,,32.04,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,42,finger,91.71,,83.37,,87.34,,91.57,,59.05,,53.97,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,42,horizontal_dislocation,99.59,,100,,99.79,,99.5,,78.12,,66.81,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,42,short_circuit,92.09,,96.63,,94.3,,96.54,,96.54,,77.16,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,42,star_crack,70.37,,66.67,,68.47,,63.7,,45.02,,40.84,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,42,thick_line,82.99,,53.41,,64.99,,70.45,,34.85,,37.66,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,42,vertical_dislocation,58.86,,92,,71.79,,88.73,,88.15,,67.26,,Source label Seed-2 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,3407,black_core,94.03,,83.24,,88.31,,86.99,,74.72,,73.29,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,3407,crack,64.42,,40.41,,49.67,,50.55,,34.55,,31.29,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,3407,finger,89.85,,83.37,,86.49,,90.26,,58.5,,53.46,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,3407,horizontal_dislocation,99.57,,100,,99.79,,99.5,,80.83,,69.2,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,3407,short_circuit,99.41,,97.75,,98.57,,97.53,,97.53,,78.79,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,3407,star_crack,73.42,,70.83,,72.11,,66.69,,50.67,,44.43,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,3407,thick_line,87.39,,55.11,,67.6,,71.65,,36.06,,38.07,,Source label Seed-3 mapped to seed order 0/42/3407.
PVEL-AD,Table 6 support,Loss-function comparison,MPDIOU,single_run,3407,vertical_dislocation,51.49,,92,,66.03,,86.19,,85.97,,64.07,,Source label Seed-3 mapped to seed order 0/42/3407.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,single_run,0,broken,86.04,,34.34,,49.09,,44.78,,21.83,,23.7,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,single_run,0,black_border,93.2,,95.24,,94.21,,98.3,,59.87,,53.79,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,single_run,0,no_electricity,87.26,,90,,88.61,,93.95,,87.42,,84.93,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,single_run,0,hot_spot,93.74,,83.13,,88.12,,94.12,,84.68,,67.2,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,single_run,0,scratch,70.06,,61.27,,65.37,,67.25,,13.18,,25.6,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,single_run,42,broken,95.85,,33.33,,49.46,,42.99,,18.85,,23.84,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,single_run,42,black_border,88.5,,90.48,,89.48,,97.34,,50.66,,50.76,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,single_run,42,no_electricity,86.03,,85,,85.51,,89.88,,82.43,,79.65,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,single_run,42,hot_spot,89.62,,78.14,,83.49,,90.26,,82.44,,63.28,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,single_run,42,scratch,77.32,,57.63,,66.04,,70.55,,12.92,,28.11,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,single_run,3407,broken,63.41,,38.89,,48.21,,45.89,,25.35,,23.98,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,single_run,3407,black_border,87.06,,90.48,,88.73,,92.48,,55.33,,55.72,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,single_run,3407,no_electricity,93.87,,90,,91.89,,94.04,,90.65,,85.47,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,single_run,3407,hot_spot,90.48,,78.19,,83.89,,91.28,,81.78,,64.5,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,single_run,3407,scratch,80.64,,52.82,,63.83,,70.03,,14.86,,27.14,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,single_run,0,broken,68.16,,35.82,,46.96,,57.07,,28.5,,32.21,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,single_run,0,black_border,85.76,,90.48,,88.05,,93.87,,60.15,,55.44,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,single_run,0,no_electricity,83.8,,90,,86.79,,91.03,,88.81,,86.54,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,single_run,0,hot_spot,88.59,,76.69,,82.21,,90.37,,80.74,,63.75,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,single_run,0,scratch,73.55,,68.31,,70.83,,73.45,,12.43,,28.43,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,single_run,42,broken,67.05,,33.33,,44.53,,44.19,,34.91,,26,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,single_run,42,black_border,70.11,,85.71,,77.13,,86.68,,59.75,,51.46,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,single_run,42,no_electricity,93.76,,75.07,,83.38,,89.09,,86.52,,83.63,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,single_run,42,hot_spot,83.24,,83.77,,83.5,,91.3,,82.96,,65.62,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,single_run,42,scratch,68.23,,64.08,,66.09,,70.37,,14.72,,28.6,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,single_run,3407,broken,87.56,,39.11,,54.07,,48.91,,27.01,,23.81,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,single_run,3407,black_border,73.97,,90.48,,81.39,,91,,56.83,,54.81,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,single_run,3407,no_electricity,81.64,,85,,83.29,,91.69,,89.02,,84.52,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,single_run,3407,hot_spot,88.35,,90.49,,89.41,,93.37,,85.54,,67.09,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,single_run,3407,scratch,74.14,,66.9,,70.33,,72.89,,14.38,,28.35,,Final repeated class-level result supplied by the user.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,mean_sd_over_3_runs,,broken,81.77,16.64,35.52,2.96,48.92,0.64,44.55,1.46,22.01,3.25,23.84,0.14,Mean ± sample SD calculated from the three final repeated runs.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,mean_sd_over_3_runs,,black_border,89.59,3.21,92.07,2.75,90.81,2.97,96.04,3.12,55.29,4.61,53.42,2.5,Mean ± sample SD calculated from the three final repeated runs.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,mean_sd_over_3_runs,,no_electricity,89.05,4.22,88.33,2.89,88.67,3.19,92.62,2.38,86.83,4.14,83.35,3.22,Mean ± sample SD calculated from the three final repeated runs.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,mean_sd_over_3_runs,,hot_spot,91.28,2.17,79.82,2.87,85.17,2.57,91.89,2,82.97,1.52,64.99,2.01,Mean ± sample SD calculated from the three final repeated runs.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-r18,mean_sd_over_3_runs,,scratch,76.01,5.41,57.24,4.24,65.08,1.13,69.28,1.77,13.65,1.05,26.95,1.27,Mean ± sample SD calculated from the three final repeated runs.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,mean_sd_over_3_runs,,broken,74.26,11.53,36.09,2.9,48.52,4.96,50.06,6.52,30.14,4.2,27.34,4.36,Mean ± sample SD calculated from the three final repeated runs.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,mean_sd_over_3_runs,,black_border,76.61,8.15,88.89,2.75,82.19,5.5,90.52,3.62,58.91,1.81,53.9,2.14,Mean ± sample SD calculated from the three final repeated runs.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,mean_sd_over_3_runs,,no_electricity,86.4,6.46,83.36,7.6,84.49,2,90.6,1.35,88.12,1.39,84.9,1.49,Mean ± sample SD calculated from the three final repeated runs.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,mean_sd_over_3_runs,,hot_spot,86.73,3.02,83.65,6.9,85.04,3.84,91.68,1.54,83.08,2.4,65.49,1.67,Mean ± sample SD calculated from the three final repeated runs.
PV-Multi-Defect,Table 11 support,Independent-dataset repeated experiment,RT-DETR-GMI,mean_sd_over_3_runs,,scratch,71.97,3.26,66.43,2.15,69.08,2.6,72.24,1.64,13.84,1.24,28.46,0.13,Mean ± sample SD calculated from the three final repeated runs.
